Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-11-01","1,916","0","0","0","1,440","0","0","0","0"
"2018-11-02","2,983","5,381","4.15","9","1,164","276","0","0","1,302"
"2018-11-03","2,813","5,367","4.14","10","1,288","106","29","17","802"
"2018-11-04","2,619","3,543","2.74","10","1,265","158","13","4","841"
"2018-11-05","3,020","10,050","7.76","22","1,221","162","18","39","1,299"
"2018-11-06","1,916","0","0","0","1,440","0","0","0","0"
"2018-11-07","2,206","1,467","1.13","5","1,368","60","12","0","349"
"2018-11-08","2,911","5,511","4.25","5","1,053","216","8","0","1,125"
"2018-11-09","2,701","3,953","3.05","6","1,248","184","7","1","919"
"2018-11-10","2,744","5,019","3.87","9","1,149","153","17","17","1,003"
"2018-11-11","3,243","11,870","9.16","17","1,177","190","20","53","1,593"
"2018-11-12","2,723","4,805","3.71","7","1,342","98","0","0","457"
"2018-11-13","3,125","9,016","6.96","21","1,292","68","9","0","391"
"2018-11-14","2,495","2,807","2.17","6","1,292","148","0","0","652"
"2018-11-15","1,917","0","0","0","1,440","0","0","0","0"
"2018-11-16","1,917","0","0","0","1,440","0","0","0","0"
"2018-11-17","2,921","9,741","7.52","18","1,233","137","34","36","1,200"
"2018-11-18","3,027","9,960","7.69","13","1,203","148","53","36","1,346"
"2018-11-19","3,036","7,648","5.9","19","1,157","255","11","17","1,356"
"2018-11-20","2,938","9,045","6.98","14","1,231","142","26","41","1,223"
"2018-11-21","2,949","5,834","4.5","9","1,211","190","34","5","1,163"
"2018-11-22","3,016","6,880","5.31","15","1,153","179","21","26","1,255"
"2018-11-23","2,146","1,355","1.05","4","1,373","67","0","0","279"
"2018-11-24","3,217","9,112","7.03","12","1,173","235","14","18","1,464"
"2018-11-25","2,413","1,995","1.54","12","1,319","121","0","0","600"
"2018-11-26","2,459","3,356","2.59","11","1,304","136","0","0","646"
"2018-11-27","3,385","12,430","9.6","49","1,108","262","29","41","1,814"
"2018-11-28","3,050","7,715","5.96","24","1,190","212","21","17","1,295"
"2018-11-29","3,417","9,112","7.03","12","1,065","207","27","44","1,624"
"2018-11-30","2,374","3,019","2.33","2","1,342","98","0","0","508"

